ALEAT,ID,OBJ,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31_P,VT,V1_P,V2_P,V3_P,V4_P,V5_P,V6_P,V7_P,V8_P,V9_P,V10_P,V11_P,V12_P,V13_P,V14_P,V15_P,V16_P,V17_P,V18_P,V19_P,V20_P,V21_P,V22_P,V23_P,V24_P,V25_P,V26_P,V27_P,V28_P,V29_P,V30_P,V31_P
9.80E-05,264692379,NO,0,0.235836,0,2.296181,22.965846,1.101503,6.409536,0,0.410004,0,532.630652,35.640682,0,0,0,6.600561,4.342115,179.016916,183.645355,69.380056,57.370462,23.927515,2258.788537,1972.245626,0.068422,0,0,0.004474,6011.335312,0,47.279217,11415.69481,0,0.000021,0,0.000201,0.002012,0.000096,0.000561,0,0.000036,0,0.046658,0.003122,0,0,0,0.000578,0.00038,0.015682,0.016087,0.006078,0.005026,0.002096,0.197867,0.172766,0.000006,0,0,0,0.526585,0,0.004142
0.000101027,271158762,NO,0,2.780001,0,8.288915,1.776908,0.009924,0,0,1.988067,0,0.704516,14.867901,0.175218,0,0,0.982984,0.768799,44.530576,31.682646,45.474231,29.863955,0.009567,75.84808,297.495908,0.028296,0,0,59.689563,1151.237729,0,4.027013,1772.230797,0,0.001569,0,0.004677,0.001003,0.000006,0,0,0.001122,0,0.000398,0.008389,0.000099,0,0,0.000555,0.000434,0.025127,0.017877,0.025659,0.016851,0.000005,0.042798,0.167865,0.000016,0,0,0.03368,0.649598,0,0.002272
0.00010504,1926662,NO,0,0.198924,0,6.01004,67.52221,0.3969,0,0,17.789504,21.861842,169.114218,19.021433,0,0,0,6.062745,16.181058,89.159798,94.50294,56.65148,46.794011,0.105293,126.577997,792.293701,0.018162,0,0,0,3170.23328,0,5.828863,4706.324399,0,0.000042,0,0.001277,0.014347,0.000084,0,0,0.00378,0.004645,0.035933,0.004042,0,0,0,0.001288,0.003438,0.018945,0.02008,0.012037,0.009943,0.000022,0.026895,0.168347,0.000004,0,0,0,0.673611,0,0.001239
0.000106503,334484396,NO,0,163.587218,0,46.589622,15.31509,0.048217,0,0,5.343578,0,37.62492,81.710853,0.013196,0,0,0.072121,6.517814,310.231928,366.063269,1.32189,52.753485,0.230727,936.808337,314.580837,0,0,0,0,2570.259057,0,21.483109,4930.555268,0,0.033178,0,0.009449,0.003106,0.00001,0,0,0.001084,0,0.007631,0.016572,0.000003,0,0,0.000015,0.001322,0.06292,0.074244,0.000268,0.010699,0.000047,0.190001,0.063802,0,0,0,0,0.521292,0,0.004357
0.000114767,2584402,NO,0,0,0,0.018016,20.954823,1.078953,0,0,9.368702,0,1.176524,11.306891,0.406685,0,0,0.289084,52.760238,19.942096,32.207,14.599251,9.847079,0,45.295683,49.321796,1.625966,0,0,0,2663.745087,0,26.82521,2960.769084,0,0,0,0.000006,0.007077,0.000364,0,0,0.003164,0,0.000397,0.003819,0.000137,0,0,0.000098,0.01782,0.006735,0.010878,0.004931,0.003326,0,0.015299,0.016658,0.000549,0,0,0,0.89968,0,0.00906
0.000131645,265173234,SI,954.145274,0.057086,0.014282,207.905143,419.182928,3.244455,0,0,449.144156,0,3.860057,171.390827,16.762019,0,0,16.539097,8.292565,1246.69705,1126.790054,120.093424,208.598477,33.953501,1761.96674,1929.603532,0.043988,0,0,73.827487,39731.66798,0,108.574453,48592.35457,0.019636,0.000001,0,0.004279,0.008627,0.000067,0,0,0.009243,0,0.000079,0.003527,0.000345,0,0,0.00034,0.000171,0.025656,0.023189,0.002471,0.004293,0.000699,0.03626,0.03971,0.000001,0,0,0.001519,0.817653,0,0.002234
0.000132903,334296716,SI,0,0,0,1.893759,10.877062,1.610295,0,0,14.382822,0,1.998231,6.453569,0.000292,0,0,0.037046,0.923591,72.028248,78.29916,12.354315,11.324152,0.049426,114.440561,234.244171,0,0,0,0,996.098485,0,6.609667,1563.624852,0,0,0,0.001211,0.006956,0.00103,0,0,0.009198,0,0.001278,0.004127,0,0,0,0.000024,0.000591,0.046065,0.050075,0.007901,0.007242,0.000032,0.073189,0.149808,0,0,0,0,0.637044,0,0.004227
0.000136795,264434973,NO,65.848435,100.581327,0.072909,417.299471,166.986655,3.489876,0,0.043324,423.79229,0,83.157309,233.90998,13.328148,0,12.968671,6.796048,26.500482,866.444709,1011.475497,79.713041,1836.681718,2.521475,44202.08349,410.183188,0.134716,0,0,0,22119.34994,0,97.529041,72180.89174,0.000912,0.001393,0.000001,0.005781,0.002313,0.000048,0,0.000001,0.005871,0,0.001152,0.003241,0.000185,0,0.00018,0.000094,0.000367,0.012004,0.014013,0.001104,0.025446,0.000035,0.612379,0.005683,0.000002,0,0,0,0.306443,0,0.001351
0.000140384,277457947,NO,0,733.047998,0,196.385722,62.774833,0.317611,0,0,10.360593,0,6.925505,70.087674,1.49223,0,0.032882,16.637057,1.442645,142.208209,357.858025,88.26034,82.57526,13.578222,306.933816,546.159997,0,0,0,0,8168.24484,0,367.955632,11173.27909,0,0.065607,0,0.017576,0.005618,0.000028,0,0,0.000927,0,0.00062,0.006273,0.000134,0,0.000003,0.001489,0.000129,0.012728,0.032028,0.007899,0.00739,0.001215,0.02747,0.048881,0,0,0,0,0.731052,0,0.032932
0.000149856,6786860,SI,0,113.906316,0.06412,30.737073,226.61228,1.816432,0,0,20.973114,0,7.458985,323.105971,0,0,1.20145,7.981642,19.732549,180.915552,1328.21554,57.53454,167.861295,2.917481,3258.68998,408.158399,0.184268,0,0,0,3871.92382,31.826454,27.474545,10089.29181,0,0.01129,0.000006,0.003047,0.022461,0.00018,0,0,0.002079,0,0.000739,0.032025,0,0,0.000119,0.000791,0.001956,0.017931,0.131646,0.005703,0.016638,0.000289,0.322985,0.040455,0.000018,0,0,0,0.383766,0.003154,0.002723
